nfe,hypervolume,epsilon_progress,seed,scenario
0,0.0,0,0,Scenario 608
0,0.0,0,1,Scenario 608
0,0.0,0,2,Scenario 608
0,0.0,0,3,Scenario 608
0,0.0,0,4,Scenario 608
100,0.44259186395506017,16,0,Scenario 608
100,0.31475999034346763,26,1,Scenario 608
100,0.3252852335971217,32,2,Scenario 608
100,0.4475225886652174,31,3,Scenario 608
100,0.4110801457353277,17,4,Scenario 608
