,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
7284,58,180.9476635006809,10.0,0.8338160047006717,333.48962824134156,1.0,0.5092348909700651,30.52614187775532,1.5,0.7006469696475802,83.07476630510857,1.0,0.4031136103724509,53.79172004673738,10.0,0.0288175160095617,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7284,do nothing,dikesnet
6572,89,182.0828839181272,10.0,0.0037181901921372,251.36755230556025,1.0,0.4866036872648041,49.841388473632946,1.0,0.6336400433043624,276.38895878421533,10.0,0.6751239753547918,121.22056165314405,1.0,0.395366894506256,4.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6572,do nothing,dikesnet
7638,36,167.79824782582662,10.0,0.6565446937798093,275.7950621607201,10.0,0.5418151410998987,243.4456081901598,10.0,0.822533851445796,138.94748002220825,1.0,0.4218437749187787,250.13662871873333,10.0,0.0612452123598541,4.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7638,do nothing,dikesnet
8006,77,72.90819462012097,1.0,0.2941162364423052,168.0504013547278,1.5,0.4519194781876042,265.6224657163628,1.0,0.6684131081638747,319.53016717977897,1.5,0.487312787342017,326.2142897150495,1.0,0.0669582963077472,1.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8006,do nothing,dikesnet
2927,70,271.4524051449369,1.5,0.6618917069715654,116.97456315235966,10.0,0.6403914474637422,286.00888163442727,1.5,0.898326521027695,120.71114917953436,10.0,0.7231320838969377,289.2730315516494,1.5,0.0037980911435291,4.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2927,do nothing,dikesnet
